가수명,노래제목,발매일,가사,좋아요수,순위
전상근,나는 그 사람이 아프다 (N번째 연애 X 전상근),2021-11-02,지금 생각해도 가슴 떨려 수줍게 넌 내게 고백했지 내리는 벚꽃 지나 겨울이 올 때까지 언제나 너와 같이 있고 싶어 아마 비 오던 여름날 밤이었을 거야 추워 입술이 파랗게 질린 나 그리고 그대 내 손을 잡으며 입술을 맞추고 떨리던 나를 꼭 안아주던 그대 이제 와 솔직히 입맞춤 보다 더 떨리던 나를 안아주던 그대의 품이 더 좋았어 나 솔직히 무섭다 그대 없는 생활 어떻게 버틸지 함께한 시간이 많아서였을까 생각할수록 자꾸만 미안했던 일이 떠올라 나 솔직히 무섭다 어제처럼 그대 있을 것만 같은데 하루에도 몇 번 그대 닮은 뒷모습에 가슴 주저앉는 이런 나를 어떻게 해야 하니 그댄 다 잊었겠지 내 귓가를 속삭이면서 사랑한다던 고백 그댄 알고 있을까 내가 얼마나 사랑했는지 또 얼마를 그리워해야 그댈 잊을 수 있을지 난 그대가 아프다 언제나 말없이 환히 웃던 모습 못난 내 성격에 너무도 착했던 그댈 만난 건 정말이지 행운이었다 생각해 난 그대가 아프다 여리고 순해서 눈물도 많았었지 이렇게 힘든데 이별을 말한 내가 이 정돈데 그댄 지금 얼마나 아플지 ,5873,1615
거미,통증,2007-05-15,내가 나쁜건가요 나만 아픈건가요 내겐 눈물따윈 필요치않죠 그댄 날 숨쉬게 한 단 한번의 사랑이니까 그런 사람이니까 다른말은 내 귓가에 들리지 않아 더는 살아야할 의미가 없이 두눈을 감고서 그냥 내 맘을 닫으면 될까요 그게 안되면 난 아물수 없는걸 알지만 그대라는 흔적에 또 베이죠 못나고 부족한 날 알게해줘서 그저 고마울 뿐이죠 난 그럴 수 있다면 이대로 그댈 잃고 날 버려도 될까요 그대 맘에 닿지못해 죄가 된 것 뿐인데 원망 따위는 이제 그만 내가 바보인가요 나만 미련한가요 내겐 후횐 어울리지 않아요 잊지 못한 맘으로 거릴 걷다 소리치는 나 가슴 터질 듯 한데 다른 누굴 만난데도 의미가 없어 사랑 하나 지키지 못했잖아 내입을 막고서 그냥 숨이 멎으면 될까요 그것 마저 안되면 난 아물수 없는걸 알지만 그대라는 흔적에 또 베이죠 못나고 부족한 날 알게 해줘서 그저 고마울 뿐이죠 난 그럴수 있다면 이대로 그댈 잃고 날 버려도 될까요 그대 맘에 닿지못해 죄가 된것 뿐인데 원망 따위는 이제 그만 사랑이란 그 흔한말이 내겐 분에 넘쳤나봐 애써 날 무너지게 해 많이 수천번을 만번을 고쳐도 돌이킬 수 없다는 걸 알지만 그래도 가끔은 헛된 미련들만 남아 잔인한 기억도 난 그럴수 있다면 이대로 그댈 잃고 날 버려도 될까요 이것만 간직 해주길 내 온몸에 남겨진 헤어날 수 없는 통증을  ,22171,1616
데이먼스 이어 (Damons year),내가 사랑했던,2019-10-29,내 걱정하지 말아요 이젠 눈물이 말라 더 울지 못하죠 아 이제 난 괜찮아요 당신의 그림자도 알아보질 못해요 내 짙은 미소를 볼 때면 그댄 안심할까요 의심을 할까요 하루를 산다는 건 내겐 살아가는 걸까요 사라지는 건가요 오늘 밤도 난 빈 곳을 걷고 덜 익은 마음이 떴네 꽤 우습게도 아직까지 풀어내던 엉킨 내 마음만 깊어져 가 돌아가는 너의 뒷모습을 바라보다가 나는 또 코끝이 시리고 빛나던 추억이 손짓을 하네 이제 그만 떠나 잘 가 나의 우는 사랑 ,10014,1617
첸 (CHEN),너를 위해,2016-10-25,다른 공간의 다른 시간이지만 내 사랑이 맞을거야 바람에 스치는 너의 향기로도 난 너인걸 알수 있어 but i don`t know 내 맘속에 언제부터 니가 산건지 i don`t know 너를 보면 설레는 이유 나를 스쳐 지나가도 돼 니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까 그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요 그대여 내눈을 보고 얘기해줘요 사랑하는 맘은 숨겨지지 않아요 너에겐 내가 곁에 있었단 사실을 절대로 잊지는 마 널 위해 모든걸 바칠 수 있었던 내 마음을 지우지마 but i don`t know 내맘속에 언제부터 니가 산건지 i don`t know 너를 보면 설레는 이유 나를 스쳐 지나가도 돼 니가 날 다 잊었으니까 니가 기억할 때까지 나는 너를 기다릴테니까 같은 공간 같은 시간 함께 있잖아 언제라도 내 곁에 와 너의 자리로 With you 너를 위해서 그대여 나를 바라봐줘요 여전히 그대도 나를 사랑하나요 ,36128,1618
오시영,너무 예뻐,2019-03-25,너무 예뻐 너무 좋아 니가 예뻐 이렇게나 예쁘니 너의 앞에 서면 어쩔 줄을 모르게 되고 바람처럼 사랑이 오고 물감처럼 나를 물들여 내 눈에는 니가 정말 예쁜 걸 모든 것이 멈춰버린듯했어 너를 처음 만나게된 순간에 이런 사람 내겐 처음 같았어 내 마음이 소란스러워 하루종일 난 꿈을 꾸듯 느껴져 너를 보러 나가는 이 시간도 다 행복이야 너무 예뻐 너무 좋아 니가 예뻐 이렇게나 예쁘니 너의 앞에 서면 어쩔 줄을 모르게 되고 바람처럼 사랑이 오고 물감처럼 나를 물들여 내 눈에는 니가 정말 예쁜 걸 머리속에 너가 자꾸 떠올라 나의 귀에 니 목소리 들려와 어딜 가도 너의 향기 느껴져 내 하루는 온통 너잖아 하루종일 난 꿈을 꾸듯 느껴져 너를 보러 나가는 이 시간도 다 행복이야 너무 예뻐 너무 좋아 니가 예뻐 이렇게나 예쁘니 너의 앞에 서면 어쩔 줄을 모르게 되고 바람처럼 사랑이 오고 물감처럼 나를 물들여 내 눈에는 니가 정말 예쁜 걸 서로 같은 마음 맞죠 우리 사랑 맞나요 웃음이 멈추지가 않아 너를 만난 후 너무 예뻐 너무 좋아 니가 예뻐 이렇게나 예쁘니 너의 앞에 서면 어쩔 줄을 모르게 되고 바람처럼 사랑이 오고 물감처럼 나를 물들여 내 눈에는 니가 정말 예쁜 걸 ,8424,1619
김광진,편지,2000-05-18,여기까지가 끝인가 보오 이제 나는 돌아서겠소 억지 노력으로 인연을 거슬러 괴롭히지는 않겠소 하고 싶은 말 하려 했던 말 이대로 다 남겨두고서 혹시나 기대도 포기하려 하오 그대 부디 잘 지내시오 기나긴 그대 침묵을 이별로 받아두겠소 행여 이 맘 다칠까 근심은 접어두오 오 사랑한 사람이여 더 이상 못보아도 사실 그대 있음으로 힘겨운 날들을 견뎌 왔음에 감사하오 좋은 사람 만나오 사는 동안 날 잊고 사시오 진정 행복하길 바라겠소 이 맘만 가져가오 기나긴 그대 침묵을 이별로 받아두겠소 행여 이 맘 다칠까 근심은 접어두오 오 사랑한 사람이여 더 이상 못보아도 사실 그대 있음으로 힘겨운 날들을 견뎌 왔음에 감사하오 좋은 사람 만나오 사는 동안 날 잊고 사시오 진정 행복하길 바라겠소 이 맘만 가져가오,61109,1620
블랙펄,결국... 너잖아,2010-07-05,너를 모질게도 버렸던 그 날도 애써 웃어주던 니 얼굴도 한순간도 너를 잊은적 없는 걸 넌 언제나 제 자리에 나를 안아주던 너의 그 손길도 지켜주겠다던 그 약속도 한순간도 너를 잊은적 없는 걸 넌 언제나 제자리에 많이 아팠니 많이 울었니 이런 내가 정말 미운거니 나를 사랑한 기억조차 지운거니 그런거니 잊으려 돌아서고 밀어내도 언제나 내 안에 넌 살았잖아 한 걸음도 못가 또 하루도 못가 그만큼 커져가는 너만 보여 나 사는 이윤 바로 너였나봐 너는 모르고 살아도 돼 다시 차오는 너의 그리움만 날 아프게 하는걸 행복한거니 다른사람과 이젠 나 없이도 살아가니 나를 사랑한 기억조차 지운거니 그런거니 잊으려 돌아서고 밀어내도 언제나 내 안에 넌 살았잖아 한걸음도 못가 또 하루도 못가 그만큼 커져가는 너만 보여 나 사는 이윤 바로 너였나봐 너는 모르고 살아도 돼 다시 차오는 너의 그리움만 날 아프게 하는걸 또 하루가 지나도 너만 기억하는 바보잖아 괜찮아 너를 가졌으니  이젠 보내줄게 가끔은 나란여자 기억할래 한 번쯤 내 생각에 웃어줄래 나 우습겠지만 참 바보같지만 그래도 사랑했던 여자라고 나 사는 이윤 바로 너였나봐 너는 모르고 살아도 돼 다시 차오는 너의 그리움만 날 아프게 하는걸 너를 눈물로 지워가 ,9172,1621
카더가든,Stay,2021-11-28,안경 너머 보이는 흐릿한 세상은 꼭 나 같아 밤새도록 써 내린 노래는 타다 만 나방 같아 Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 Oh- Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 뱉어낸 숨으로 하루를 달래고 허기진 몸을 누이면 어질러 놓은 마음 들킬 것 같아 흘러내린 이불로 긴긴밤을 덮어 Oh- Stay my tiny dreams 내 작은 방 별 하나 꺼지면 Stay my shiny dreams 내 친한 벗 날 찾아오겠지 Stay my tiny dreams If I truly loved all the things that I wanted Stay my shiny dreams 내 그리운 벗 날 찾아오겠지 ,6448,1622
지아,여가,2021-10-17,이렇게도 떨리는 건지 몰랐어 너를 보며 노래를 부른다는 게 조금은 어색하게 느껴진대도 날 바라보며 들어주겠니 이런 말을 여자가 먼저 한다고 이상하게 생각할지도 몰라서 망설여졌었지만 언제까지나 이런 마음을 숨겨둘 수는 없으니까 언제부터인지 나도 모르게 너에 대한 간절한 맘 때문에 홀로 너를 상상하며 말을 걸어보기도 하고 행복함에 웃음 짓곤 했어 이런 날 위해 조금만 더 다가와 줄 순 없니 이젠 내게 대답해줄 수 있니 잡을 수 없는 내 맘을 잡아줄 수 있는 사람은 오직 내게 너 하나뿐인걸 이런 날 위해 조금만 더 다가와 줄 순 없니 이젠 내게 대답해줄 수 있니 잡을 수 없는 내 맘을 잡아줄 수 있는 사람은 오직 내게 너 하나뿐인걸 용기가 없어 말 못 한 거라면 지금 이 순간 사랑한다 말해주면 되는데 그리곤 나를 꼭 안아줘 이 노래가 끝난 후에 널 쳐다볼 수 없을 것만 같아 ,4705,1623
강민경 (다비치),사랑해서 그래,2019-02-27,잘 있니 잘 지내니 나는 요즘 부쩍 네가 보고 싶어 그래 알아 너는 다신 내가 보기 싫지 음 왜 그리 겁이 났었는지 영원한 사랑을 바라던 눈빛 그게 난 숨이 막혔어 그땐 어려서 나밖에 몰랐었어 미안해서 너무 미안해서 돌아가지 못하는 이런 날 이해해 나 다시 너를 만나면 또 같은 이유로 분명 멀어질 걸 알고 있어 참을 수밖에 잊지 못해 어떻게 널 잊어 보내지도 못하는 이런 날 알아줘 바뀌지 않을 나라서 또 같은 이유로 우리 아파할 걸 알고 있으니 괜한 투정에 웃어주던 미운 말들을 안아주던 너는 이젠 내 곁에 없는데 혼자 이렇게 널 놓칠 못하겠어 미안해서 너무 미안해서 돌아가지 못하는 이런 날 이해해 나 다시 너를 만나면 또 같은 이유로 분명 멀어질걸 알고 있어 참을 수밖에 잊지 못해 어떻게 널 잊어 보내지도 못하는 이런 날 알아줘 바뀌지 않을 나라서 또 같은 이유로 우리 아파할 걸 알고 있으니 붙잡아줘 먼저 날 잡아줘 많이 후회했었어 끝내 말 못해서 마지막 너의 표정이 그 슬픈 얼굴이 전부 나 때문인 걸 알기에 참을 수밖에 사랑해서 많이 사랑해서 가늠하지 못하는 시간 지나가도 그래도 변치 않는 건 또 같은 이유로 영원히 널 그리워할 것 같아 ,32141,1624
임재범,비상,2000-11-09,누구나 한번쯤은 자기만의 세계로 빠져들게되는 순간이 있지 그렇지만 나는 제자리로 오지 못했어 되돌아 나오는 길을 모르니 너무 많은 생각과 너무 많은 걱정에 온통 내 자신을 가둬 두었지 이젠 이런 내 모습 나 조차 불안해 보여 어디 부터 시작할지 몰라서 나도 세상에 나가고 싶어 당당히 내꿈들을 보여줘야해 그토록 오랫동안 움츠렸던 날개 하늘로 더 넓게 펼쳐보이며 날고싶어 감당할수 없어서 버려둔 그 모든건 나를 기다리지 않고 떠났지 그렇게 많은 걸 잃었지만 후회는 없어 그래서 더멀리 갈수 있다면 상처받는것 보다 혼자를 택한거지 고독이 꼭 나쁜것은 아니야 외로움은 나에게 누구도 말하지 않은 소중한걸 깨닫게 했으니깐 이젠 세상에 나갈수 있어 당당히 내 꿈들을 보여 줄꺼야 그토록 오랫동안 움츠렸던 날개 하늘로 더넓게 펼쳐보이며 다시 새롭게 시작할꺼야 더이상 아무것도 피하지 않아 이 세상 견뎌 낼 그 힘이 되줄꺼야 힘겨웠던 방황을 ,13361,1625
이수영,Grace (Feat. 이기찬),2006-05-04,뚜루루 뚜루루 뚜 정말 괜찮을거야 뚜루루 뚜 우리 바보같은 내 사랑을 놓쳐도 라라 라라라라라 라라 라라라라라 괜찮아질거야 마음 여미고 한껏 단장을 하고 그대와 갔던 거리에도 혼자서 씩씩한 걸음 살짝 붉어진 얼굴 너를 잊기 좋은 날 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 사랑 사랑 멀리 떠나라 내 너를 믿고 눈물 흘린 날 두고  정상에 올라 너의 이름 토한 날 나를 누르던 앙금같은 기억도 숨을 몰아서 한껏 뱉어낸 오늘 너를 잊기 좋은 날 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 잊는 것쯤 별거 아니었지만 더 선명해진 그리움이여  어찌하나 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 알아 눈물쯤은 흘려줘도 괜찮아 라라 라라라라라 라라 라라라라라 다 슬픔 씻어내기 위한거니까 이젠 자유로운 내가 될거야 내 사랑아 멀리 떠나라 내 다시 널 붙잡지 않게  ,12601,1626
이석훈,우리 사랑했던 추억을 아직 잊지 말아요,2019-10-24,다신 사랑하지 않아 보고 싶지 않아 나를 떠나간 너를 내가 싫다고 했잖아 헤어지기 싫다고 옆에 있어달라고 눈물이 멈추질 않아 이렇게 끝이라면 다신 널 볼 수 없으니까 우리 사랑했던 추억을 아직 잊지 말아요 다시 돌아갈 수 없다며 단정 지었던 네가 너무 그립고 그리워서 보고 싶어 눈물이 나서 그대 생각하며 이렇게 조금만 더 아플게요 그대 행복해야 해요 아프지도 말고 내가 없었단 듯이 사실 아파했음 좋겠어 내 생각을 하면서 매일 밤마다 날 그리워해 주길 우리 사랑했던 추억을 아직 잊지 말아요 다시 돌아갈 수 없다며 단정 지었던 네가 너무 그립고 그리워서 보고 싶어 눈물이 나서 그대 생각하며 이렇게 조금만 더 아플게요 너와 걷던 길을 혼자 걸어요 그대 추억을 두고 오려 해 미안하다고 내가 보고 싶었다고 말 한마디면 난 충분한데 우리 사랑했던 추억을 아직 잊지 말아요 다시 돌아갈 수 없다며 단정 지었던 네가 너무 그립고 그리워서 눈물이 멈추질 않아서 그댈 생각하며 이렇게 나 조금만 더 아플게요 ,19041,1627
범진,인사,2021-12-24,돌아서는 너를 보며 난 아무 말도 할 수 없었고 슬퍼하기엔 짧았던 나의 해는 저물어 갔네 지나치는 모진 기억이 바람 따라 흩어질 때면 아무 일도 없듯이 보내주려 해 아픈 맘이 남지 않도록 안녕 멀어지는 나의 하루야 빛나지 못한 나의 별들아 차마 아껴왔던 말 이제서야 잘 지내 인사를 보낼 게 떠나가는 너를 보며 난 아무 말도 할 수 없었고 슬퍼하기엔 짧았던 나의 해는 저물어 갔네 돌이킬 순 없는 추억이 바람 따라 흩어질 때면 아무 일도 없듯이 보내주려 해 아픈 맘이 남지 않도록 안녕 멀어지는 나의 하루야 빛나지 못한 나의 별들아 차마 아껴왔던 말 이제서야 잘 지내 인사를 보낼 게 잘 지내 인사를 보낼 게 ,1635,1628
이소라,제발,2000-12-14,잊지 못해 너를 있잖아 아직도 눈물 흘리며 널 생각해 늘 참지 못하고 투정 부린 것 미안해 나만 원한다고 했잖아 그렇게 웃고 울었던 기억들이 다른 사랑으로 잊혀져 지워지는게 난 싫어 어떻게든 다시 돌아오길 부탁해 처음으로 다시 돌아가길 바랄게 기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 제발 모든걸 말할수 없잖아 마지막 얘길 할테니 좀 들어봐 많이 사랑하면 할수록 화만 내서 더 미안해 어떻게든 다시 돌아오길 부탁해 처음으로 다시 돌아가길 바랄게  기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 잊지 말고 다시 돌아오길 부탁해 헤어지면 가슴 아플거라 생각해 기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 제발 제발 제발 ,27634,1629
김범수,에델바이스,2010-11-09,내 마음 갈 곳 없어 그리움도 둘 곳 없어 바람에 띄워 보낸다 내 아픈 기억들 가진 게 너무나 없어 뼈저리게 서러울 땐 사랑도 우정도 내겐 사치라 믿었어 시린 고독과 악수하며 견뎌온 날들 모두 가지면 행복할 줄 알았었는데 되돌아 가고 싶다 다시 살 수 있다면 사랑하는 사람과 평생 소박하게 나 살고파 가지면 가질수록 가슴은 늘 외로워 술 한 잔에 기댈 수 있는 친구가 그립구나  지친 맘 달래주던 너의 목소리 그리워 고맙고 소중한 마음 그 때는 몰랐어 시린 고독과 악수하며 견뎌온 날들 모두 가지면 행복할 줄 알았었는데 되돌아 가고 싶다 다시 살 수 있다면 사랑하는 사람과 평생 소박하게 나 살고파 가지면 가질수록 가슴은 늘 외로워 술 한 잔에 기댈 수 있는 친구가 그립구나 추억 속에 묻어야 했던 사랑이 보고싶다    ,9811,1630
정효빈,달라진 니 마음,2019-09-05,더 가지 말자 우리 여기까지만 니 식어버린 마음들이 날 초라하게 해 아무리 노력을 해봐도 애를 써봐도 잡으려 하면 할수록 내게서 멀어져 버린 니 마음 처음과 다른 니 마음 너무 따뜻했던 넌 다를 거라 믿었던 내가 잘못인 거니 같이 있어도 외로워 왠지 나 서러워 너만 돌아서 버린 너만 뒤집어져 버린 마음 내가 더 잘했다면 달라졌을까 그때 더 잘해줄 걸 가끔 또 후회하곤 해 친구를 만나 널 욕하고 웃다가 울다가 좋았던 일만 생각나 자꾸 떠올라서 더 아파 처음과 다른 니 마음 너무 따뜻했던 넌 다를 거라 믿었던 내가 잘못인 거니 같이 있어도 외로워 왠지 나 서러워 너만 돌아서 버린 너만 뒤집어져 버린 마음 너 아니면 시작도 안 했을 사랑이니까 니가 다 가져가 다시는 눈물 흘리지 않게 할 거라며 니 말이라 다 믿었어 행복하게 해준단 말 달라진 니 마음 돌아갈 수 없겠지 아마 그럴 수 없겠지 우리 ,23211,1631
윤건,하루에도 열두 번,2020-01-15,네가 좋아하는 노래 자꾸 흥얼거리게 돼 그래 너땜에 아직도 난 그래 우리 함께 하던 그때 네가 쓰던 비누 냄새 내 코끝이 반응해 아직까지도 그래 같은 영활보며 울고 같은 예능보며 웃고 머리부터 발까지 지금도 너로 젖은 채로 지금 네 옆에 그 사람도 행복할거야 처음 널 만났을 때부터 내가 그랬던 것처럼 하루에도 열두 번 자꾸 떠올라 혹시 너도 그랬니 터질듯이 아파도 괜찮은 척 살아 이미 나의 일부가 돼버린 네가 이젠 행복하니까 너와 자주 가던 카페 네가 좋아하던 라떼 내 취향도 변해 지금까지도 그래 같은 가술 좋아하고 같은 꿈을 꾸며 살고 하나부터 열까지 지금도 너와 닮은 채로 너도 나처럼 한동안은 아팠을 거야 처음 너 없이 혼자 남아 내가 그랬던 것처럼 하루에도 열두 번 자꾸 떠올라 혹시 너도 그랬니 터질 듯이 아파도 괜찮은 척 살아 이미 나의 모든 걸 주었던 네가 이젠 행복하니까 하루가 너무 짧던 우리 추억들 어느새 사진처럼 남은채로 하루에도 열두 번 자꾸 떠올라 혹시 너도 그랬니 터질듯이 아파도 괜찮은 척 살아 이미 나의 일부가 돼버린 네가 이젠 행복하니까 ,26284,1632
한동근,보통 같으면,2020-04-20,해가 저물어 간다 너무 빨랐던 오늘이 지나간다 느지막이 떠오른 달이 날 기다린 듯 건물들 사이에 떠 있다 뭉친 듯 무거워진 어깨가 오늘 부쩍 아픈 것 같고 집으로 들어가기가 오늘따라 외롭고 두려워진다 보통 같으면 네가 날 찾을 시간인데 내가 오기를 한참을 기다렸을 텐데 네 웃음이 오늘따라 왜 이렇게 그리운지 아무것도 하고 싶지 않아 너 없이 추억할 하루가 없다 네가 그렇게 싫어했던 사람들에게 난 얘깃거리일 뿐이다 언제든 우리만큼은 괜찮을 거라 생각했었던 내가 어리석었다 널 더 사랑했어야만 했다 날 아껴준 만큼 널 돌아봐야 했다 보통 같으면 네가 날 찾을 시간인데 내가 오기를 한참을 기다렸을 텐데 네 웃음이 오늘따라 왜 이렇게 그리운지 아무것도 하고 싶지 않아 너 없이 추억할 하루가 없다 아주 작은 일들에 널 붙이는 것에도 저 황홀한 달빛 아래 널 떠올리는 것도 내게 보통 날이 네가 없는 날이 되면 안 되잖아 아직 널 사랑하니까 보통 같은 날처럼 너도 날 기다렸을까 보통 같은 날처럼 날 보면 웃어 줄까 난 매일 너를 다시금 만날 그날이 오기를 기도하고 기다리고 있어 너 없이 하루도 난 ,18127,1633
정일영,기도,2000-10-01,혹시 나를 떠나려는 그대 맘이 힘든 나를 위해서 그런 이유인가요 하루만큼 멀어져도 괜찮아요 그대 어디 있어도 사랑인걸 믿어요 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건 내게 없단 걸 아나요 나를 보며 웃는 그대 그 미소가 내게 너무나 벅찬 그런 행복인걸요 더 가까이 기대와도 괜찮아요 그대 숨결 느끼는 지금 이 순간처럼 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건 내게 없단 걸 아나요 언제까지나 여기 있어요 작은 손길 닿는 곳에 그대 사랑이 나를 불렀죠 그대 곁으로 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건 내게 없단 걸 ,17047,1634
싸이 (PSY),언젠가는,2004-11-08,그땐 너무 어려서 사랑이 사랑인줄도 몰랐다 지금은 지금도 사랑이 뭔지 잘 모르겠다  젊은 날에 젊음을 모르고 사랑할땐 사랑이 보이지 않았네 하지만 이제 뒤돌아 보니 우리 젊고 서로 사랑을 했구나  만남이 시작되자 마자 혼자 좋다고 미쳐서 여자 혼을 싹다 빼놓고 살짝 지풀에 지쳐서 이제 우리 헤어져 추하게시리 발목 잡지 말고 저리 비켜 너  이제 와서 뒤돌아 봐도 괜찮은 사람 지금 다시 봐도 괜찮을 사람 그저 소중한걸 소중한건줄 모르는 나이였기에 어린 나이였기에-  언젠가는 우리 다시 만나리 어디로 가는지 아무도 모르지만 언젠가는 우리 다시 만나리 헤어진 모습 이대로-  젊은날엔 젊음을 잊었고 사랑할땐 사랑이 흔해만 보였네 하지만 이제 생각해 보니 우린 젊고 서로 사랑을 했구나  그땐 그저 지나쳐 간 사랑 빈자리 못잊어 못이겨서 만남을 시작해 만나보니 생각했던거보다 훨씬 더 착해 게다가 침착해  그래서 깔봤던거 같애 내가 바보였던거 같애 잘해주기 보단 대접 받기를 바랬지  달래주기 보다는 윽박지르기 일수였지 실수였지 생각이 나네 눈물이 나네 웃음이 나네  언젠가는 우리 다시 만나리 어디로 가는지 아무도 모르지만 언젠가는 우리 다시 만나리 헤어진 모습 이대로-  언젠가는 우리 다시 만나리 어디로 가는지 아무도 모르지만   yo-추억하기엔 너무나 흐릿하기에 그냥 한잔술에 쓴웃음지며 꿀꺽 삼키네 지금 내 옆에 있는 사람이 바로 그 사람 내가 지켜줘야 할 사람 그리고 지켜가야 할 사람-  언젠가는 우리 다시 만나리 헤어진 모습 이대로-    ,5967,1635
전람회,취중진담(醉中眞談),1996-04-01,그래 난 취했는지도 몰라 실수인지도 몰라 아침이면 까마득히 생각이 안나 불안해 할지도 몰라 하지만 꼭 오늘 밤엔 해야 할 말이 있어 약한 모습 미안해도 술김에 하는 말이라 생각지는 마  언제나 네 앞에 서면 준비했던 말도 왜 난 반대로 말해놓고 돌아서 후회하는지 이젠 고백할께 처음부터 너를 사랑해 왔다고 이렇게 널 사랑해  어설픈 나의 말이 촌스럽고 못 미더워도 그냥 하는 말이 아냐. 두 번 다시 이런 일 없을 꺼야. 아침이 밝아오면 다시 한번 널 품에 안고 사랑한다 말할께  자꾸 왜 웃기만 하는 거니 농담처럼 들리니 아무 말도 하지 않고 어린애 보듯 날 바라보기만 하니 언제나 네 앞에 서면 준비했던 말도 왜 난 반대로 말해놓고 돌아서 후회하는지 이젠 고백할께 처음부터 너를 사랑해왔다고 이렇게 널 사랑해  어설픈 나의 말이 촌스럽고 못미더워도 아무에게나 늘 이런 얘기하는 그런 사람은 아냐 너만큼이나 나도 참 어색해 너를 똑바로 쳐다볼 수 없어  자꾸만 아까부터 했던 말 또 해 미안해 하지만 오늘 난 모두 다 말 할꺼야 이렇게 널 사랑해  어설픈 나의 말이 촌스럽고 못미더워도 그냥하는 말이 아냐 두번다시 이런일 없을거야 아침이 밝아오면 다시 한번 널 품에 안고 사랑한다 말할께-  널 사랑해 이렇게 널 사랑해 어설픈 나의 말이... ,23297,1636
Sondia,첫사랑,2019-10-16,처음 널 만나던 그 순간 숨이 벅차 오르던 기억 혹시 네가 들었을까봐 들켰을까봐 마음 졸이던 날 기억해 넌 참 목소리가 좋았어 같이 걸을 때 더 좋았어 그래 그럴 때가 있었어 가슴 시리게 사랑했었던 날 있었어 넌 나에게 매일 첫사랑 봄눈이 오듯 그렇게 나는 기다려 설레이던 그날도 취했었던 그 밤도 마음이 이상해 바람 불어올 즘이면 넌 나에게 매일 첫사랑 봄눈이 오듯 그렇게 나는 기다려 슬퍼 울던 그 날도 비틀대던 그 밤도 마음이 이상해 바람 불어올 즘이면 여전히 때로 사랑은 참 외로워 그래 삶이란 늘 어려워 알아 우리 함께 했던 날 가슴 시리게 사랑했었던 날 있었어 넌 나에게 매일 첫사랑 봄눈이 오듯 그렇게 나는 기다려 설레이던 그날도 취했었던 그 밤도 마음이 이상해 바람 불어올 즘이면 넌 나에게 매일 첫사랑 봄눈이 오듯 그렇게 나는 기다려 슬퍼 울던 그 날도 비틀대던 그 밤도 마음이 이상해 바람 불어올 즘이면 여전히 ,26241,1637
우연소(遇緣所),"푸른 밤 아래, 우리",2022-07-21,별빛에 그려진 그네 위에 올라 밤 아래를 내려다보는 달 너도 나처럼 듣고 있을까 저 별들과 달의 노랫소리가 뛰어가 볼까 어떻게 해야 닿을까 시계를 다시 돌리고 싶어 푸른 밤 아래 우리 사랑이라 부를 수 있었던 그날 어쩌면 다시는 오지 않을 혹시 나처럼 듣고 있다면 거짓말처럼 오면 안 될까 그땐 알 거야 수많은 날들 속에서 얼마나 내가 널 보고 싶었는지 뛰어가 볼까 어떻게 해야 닿을까 시계를 다시 돌리고 싶어 푸른 밤 아래 우리 사랑이라 부를 수 있었던 그날 어쩌면 다시는 오지 않을 나의 너에게 이 편지를 써 음음음음 만약에 말야 우리가 다시 만난다면 시계가 다시 맞춰진다면 푸른 밤 아래 너를 꼭 붙잡고 보내지 않을 텐데 언젠가 너를 꼭 다시 보면 푸른 밤 아래 너를 꼭 붙잡고 보내지 않았을 텐데 음음음음 ,306,1638
