가수명,노래제목,발매일,가사,좋아요수,감정
이무진,눈이 오잖아(Feat.헤이즈),2021-12-03, 한 달 좀 덜 된 기억들 주머니에 넣은 채 걷고 있어 몇 시간을 혹시 몰라 네가 좋아했던 코트를 입은 채 나온 번화가 그때 마침 찬바람 막아줄 네가 이젠 없으니까 추울 때 따스히 안아줄 이가 없으니까 친구들이 불러도 나갈 수 없어 난 창문 너머 그저 바라봐 그때 마침 눈이 오잖아 우리 처음 만난 그 밤에도 한참 동안 눈이 왔잖아 지금 내가 생각나지 않을 리가 없잖아 눈이 오잖아 그때 내가 밤하늘 내린 하얀 눈 예쁘다 했잖아 그랬잖아 지금 눈이 오잖아 Uh 눈이 오잖아 이 말 핑계인 걸 알지만 생각에 잠기곤 해 거릴 거니는 내 곁에 아무도 없을 때 더 크게 들리네 Oh 눈 내리는 소리 이제 인정하자 수많은 끝도 끝났어 찬란한 그때의 우린 이젠 없으니까 돌아온 계절 남아있는 건 없으니까 추억을 지우는 게 내 이별의 숙제 창문 너머 그저 바라봐 그때 마침 눈이 오잖아 우리 처음 만난 그 밤에도 한참 동안 눈이 왔잖아 지금 내가 생각나지 않을 리가 없잖아 눈이 오잖아 그때 내가 밤하늘 내린 하얀 눈 예쁘다 했잖아 그랬잖아 지금 눈이 오잖아 마지막 안녕이 남은 거리에서 혼자 너와의 약속들을 되뇌었어 함께여야 할 너 없는 이 겨울의 첫눈이 오잖아 눈이 오지만 우리 처음 만난 그 밤에도 내렸던 그 눈이 오지만 주머니 속 챙겨 나온 기억 버려야만 해 눈이 오지만 우린 이대로의 모습으로 남아있는 게 맞지만 그래도 지금 그 눈이 오잖아  ,90072,indifference
김나영,너의 번호를 누르고,2022-04-12, 우연히 너를 만나서 너의 옆자리에 앉아 그렇게 우린 친해졌어 짧은 시간에 그렇게 가까워질 수 있다는 게 그게 참 신기했어 소소한 일상부터 어린 시절 얘기까지도 그리 똑같진 않아도 말이 참 잘 통해서 더 짧았던 거야 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 어쩌다 먼 훗날에 그때 우리 약속 기억날까 아쉬움만 가득했던 그때 난 왜 그랬을까 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 우린 여기까지인가 봐 아무 일 없이 살다 보면 모두 잊혀질 거라 또 맘을 속이고 달래도 자꾸만 그때 네가 생각나 또 너를 부르게 돼 너의 번호를 누르고 설레임을 가득 채우다 너의 번호를 지우며 좋았던 시간을 덜어내 그때 난 왜 몰랐을까 이뤄질 수 없는 짧은 시간 속의 스쳐 가버린 그때 그 시절 속의 우린 여기까지인가 봐  ,17798,indifference
탑현,호랑수월가,2022-01-15, 흐르는 저 하늘을 물어 채는 범처럼 태산에 날아들어 숨어드는 새처럼 동산을 뛰고 뛰어가는 강아지처럼 온 산에 풍물 막을 내리네 바람은 지친 끝에 밤에 몸을 뉘이네 별빛은 아뜩하니 은하수를 내리네 차가운 밤하늘에 세상이 젖어 가네 그리워 홀로 타령을 하자 흘러가라 사랑사랑아 덧없이 피고 떨어지는 꽃송아 애닯구나 가락가락아 눈물에 떨어진 별을 헤네 푸른 달아 오랜 고운 내 달아 비친 내 손에 내려다오 은색 소매 내 곁에 두른 채로 한 번만 타는 입을 축여다오 푸른 달아 다시 없을 내 달아 뻗은 손끝에 닿아다오 달빛만이 흘러 바다가 되고 지쳐 전하지 못하는 수월가 고요한 바다 위로 내 노래가 떠 간다 소리도 부끄러워 숨죽이고 떠 간다 달빛에 젖은 몸을 내놓고서 떠 간다 한낮이 비쳐 오를 때까지 달아 달아 애달픈 달아 피었다 이내 숨어 버릴 허상아 시리구나 세월세월아 나날을 헤면서 현을 뜯네 푸른 달아 오랜 고운 내 달아 비친 내 손에 내려다오 은색 소매 내 곁에 두른 채로 한 번만 타는 입을 축여다오 푸른 달아 다시 없을 내 달아 뻗은 손끝에 닿아다오 달빛만이 흘러 바다가 되고 지쳐 전하지 못하는 수월가 서로 가자 굽이굽이 쳐 가자 하늘에 닿을 너머까지 밤아 가라 훠이훠이 가거라 산 위에 걸린 저 달은 태평가 서로 가자 굽이굽이 쳐 가자 새벽에 닿을 너머까지 달빛만이 흘러 바다가 되고 지쳐 전하지 못하는 수월가 하늘을 보며 그리는 풍류가 손으로 잡을 수 없는 수월가  ,75184,indifference
권진아,Lonely Night,2020-03-13, 이런 시간엔 더 그리워 홀로 남는 이 순간 떠난 줄 알면서도 자꾸 떠오르는 너 왜 넌 그때 날 떠났을까 너무 힘이 든다던 그게 이유라면 이유일 수 있지만 나는 알 수 없는걸 Lonely Night Lonely Night 떠나던 그 모습이 남았던 Lonely Night so Lonely Night 기억 속에 남은 모습으로 이런 시간들이 외로워 모두 떠난 이 밤엔 잊으려고 해봐도 자꾸 떠오르는 너 왜 난 그때 널 보냈을까 견딜 수도 없을 걸 알며 마음으로 애원했었지만 그저 바라보았어 Lonely Night Lonely Night 떠나던 그 모습이 남았던 Lonely Night so Lonely Night 기억 속에 남은 모습으로 지금도 그리운걸 외로운 밤 홀로 일 땐 떠나던 뒷 모습이 한 없이 그리운걸 Lonely Night Lonely Night 떠나던 그 모습이 남았던 Lonely Night so Lonely Night 기억 속에 남은 모습으로 Lonely Night Lonely Night 떠나던 그 모습이 남았던 Lonely Night so Lonely Night so Lonely Night so Lonely Night Lonely Night  ,47808,indifference
먼데이 키즈 (Monday Kiz),물고기자리,2021-11-04,혹시 그대가 어쩌다가 사랑에 지쳐 어쩌다가 어느 이름모를 낯선 곳에 날 혼자두진 않겠죠 비에 젖어도 꽃은 피고 구름가려도 별은 뜨니 그대에게 애써 묻지않아도 그대 사랑인걸 믿죠 저기 하늘끝에 떠 있는 별처럼 해뜨면 사라지는 그런 나 되기 싫어요 사랑한다면 저 별처럼 항상 거기서 빛을 줘요 그대 눈부신 사랑에 두눈 멀어도 돼 하늘에 박힌 저 별처럼 당신의 아픔으로 묶여 움직일 수가 없지만 난 변하지 않을테니 작은 꽃잎위에 맺힌 이슬처럼 해뜨면 사라지는 그런 나 되기 싫어요 사랑한다면 저 별처럼 항상 거기서 빛을 줘요 그대 눈부신 사랑에 두눈 멀어도 돼 하늘에 박힌 저 별처럼 당신의 아픔으로 묶여 움직일 수가 없지만 난 변하지 않을테니 사랑한다면 저 별처럼 항상 거기서 빛을 줘요 그대 눈부신 사랑에 두눈 멀어도 돼 하늘에 박힌 저 별처럼 당신의 아픔으로 묶여 움직일 수가 없지만 난 변하지 않을테니 비에 젖어도 꽃은 피고 구름가려도 별은 뜨니 묻지 않아도 난 알아요 그대 내 사랑인 걸 작은 꽃잎에 이슬처럼 저기 하늘끝 저 별처럼 다시 해뜨면 사라지는 내가 되기 싫어요 변하지 않을테니 ,7496,indifference
조이 (JOY),그럴때마다 (Be There For You),2021-05-31,반복된 하루 사는 일에 지칠 때면 내게 말해요 항상 그대의 지쳐있는 마음에 조그만 위로 돼줄게요 요즘 유행하는 영화 보고플 땐 내게 말해요 내겐 그대의 작은 부탁조차도 조그만 행복이죠 아무런 약속도 없는 일요일 오후 늦게 잠에서 깨 이유 없이 괜히 서글퍼질 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠 오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요 혼자서 밥 먹기 싫을 땐 다른 사람 찾지 말아요 내겐 그대의 짜증 섞인 투정도 조그만 기쁨이죠 아무런 약속도 없는 일요일 오후 누군가 만나서 하루 종일 거릴 걷고 싶을 땐 그대 곁엔 세상 누구보다 그댈 이해하는 내 자신보다 그댈 먼저 생각하는 사람이 있죠 오랫동안 항상 지켜왔죠 그대 빈자리 이젠 들어와 편히 쉬어요 Lalalala lalalala lalalala lalalala Lalalala lalalala lalalala lalalala Lalalala lalalala lalalala lalalala ,20863,indifference
태연 (TAEYEON),그대라는 시,2019-07-21, 언제부터인지 그대를 보면 운명이라고 느꼈던 걸까 밤하늘의 별이 빛난 것처럼 오랫동안 내 곁에 있어요 그대라는 시가 난 떠오를 때마다 외워두고 싶어 그댈 기억할 수 있게 슬픈 밤이 오면 내가 그대를 지켜줄게 내 마음 들려오나요 잊지 말아요 지나가는 계절 속에 내 마음은 변하지 않는단 걸 아나요 그저 바라보는 눈빛 그 하나로 세상을 다 가진 것 같은데 그대라는 시가 난 떠오를 때마다 외워두고 싶어 그댈 기억할 수 있게 슬픈 밤이 오면 내가 그대를 지켜줄게 내 마음 들려오나요 잊지 말아요 꽃이 피고 지는 날이 와도 이것 하나만 기억해줘요 그댈 향한 마음을 언젠가는 우리 멀어질지 몰라도 나는 그대라면 기다릴 수 있을 텐데 시간이 흘러도 내가 이곳에 서 있을게 그대 망설이지 말아요 그때가 오면  ,216747,indifference
태연 (TAEYEON),숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),2019-11-15,아-아-아-아 아-아-아-아-아-아 Into the unknown… Into the unknown… Into the unknown! 아-아-아-아 듣기 싫어 저리 가 제발 좀 나를 내버려 둬 지금 이 행복을 잃고 싶지 않은데 자꾸 왜 맴돌며 나를 데려가려 해 오-오 오-오 귀를 막겠어 스쳐갈 바람일 뿐이야 뭐라 말해도 (그만해) 못 들은척 할래 소중한 내 사람들을 떠날 수 없어 저 불안한 세상에 날 떠밀지 말아 줘 저 두렵고 낯선 위험한 모험들 비바람 몰아치듯 저 멀리서 날 불러 Into the unknown… Into the unknown… Into the unknown! 아-아-아-아 아-아-아-아-아-아 뭘 원해 넌 왜 자꾸 나를 부르니 내가 위험해지는 거 그걸 바라는 거니 어쩌면 알고 있니 마법 같은 내 비밀 여긴 내가 있을 곳이 아닌걸 견디기에 버거워져 힘이 강해질수록 잠들었던 내 마음이 깨어나 Into the unknown Into the unknown! Into the unknown!! 아-아-아-아 아-아-아-아  오-오-오 어디 있니? 내가 보이니? 느낀다면 보여줘 널 아-아-아-아! 아-아-아-아 아-아-아-아! 아-아-아-아 아-아-아-아 아-아-아-아 아-아-아-아! 아-아-아-아! 어둡고 험한 먼 길이라도 그곳에 가겠어 Into the unknown! ,81527,indifference
임창정,소확행,2020-10-19, 내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들 이 또한 다 지나가리라 피할 수 없다면 즐겨라 퇴근길에 편의점 네 개에 만원인 캔맥주 원플원 과자 두 봉 기다릴 울 냥이 통조림 간식 하나 세상 편한 차림으로 침대 위에 걸터앉아 최신 업뎃 영상 본다 눈 호강에 입 속 가득 찬 단짠의 조화 내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들 이 또한 다 지나가리라 즐길 수 있을 거야 너는 좁은 방에 매트 깔고 생전 처음 해 본 요가 체중계에 올라서서 어제와 같은 몸무게에 안도하며 배달 앱에 단골 식당 요리조리 찾아보고 또 조리요리 찾아보고 이런 맛에 살지 내일도 일하러 간다 내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들 이 또한 다 지나가리라 즐길 수 있을 거야 너는 인생이 별건가요 똑같아요 열받고 힘들면 한잔하고 꿀잠 자고 그러다 웃고 내가 꿈 찾아 행복 찾아 하루하루 살아가다가 만나버린 괴로웠던 순간들 이 또한 다 지나가리라 즐길 수 있을 거야 너는 내가 꿈 찾아 행복 찾아 하루하루 살아가다 만나버린 고민들 이 또한 다 지나가리라 즐길 수 있을 거야 너는 ,54700,indifference
김필,그때 그 아인,2020-02-15, 길었던 하루 그림잔 아직도 아픔을 서성일까 말없이 기다려 보면 쓰러질 듯 내게 와 안기는데 마음에 얹힌 슬픈 기억은 쏟아낸 눈물로는 지울 수 없어 어디서부터 지워야 할까 허탈한 웃음만이 가슴에 박힌 선명한 기억 나를 비웃듯 스쳐 가는 얼굴들 잡힐 듯 멀리 손을 뻗으면 달아나듯 조각난 나의 꿈들만 두 갈래 길을 만난 듯 멍하니 한참을 바라보다 무언가 나를 이끌던 목소리에 한참을 돌아보면 지나온 모든 순간은 어린 슬픔만 간직한 채 커버렸구나 혼자서 잠들었을 그 밤도 아픔을 간직한 채 시간은 벌써 나를 키우고 세상 앞으로 이젠 나가 보라고 어제의 나는 내게 묻겠지 웃을 만큼 행복해진 것 같냐고 아직 허기진 소망이 가득 메워질 때까지 시간은 벌써 나를 키우고 세상 앞으로 이젠 나가 보라고 어제의 나는 내게 묻겠지 웃을 만큼 행복해진 것 같냐고 아주 먼 훗날 그때 그 아인 꿈꿔왔던 모든 걸 가진 거냐고  ,127761,indifference
아이유,마음을 드려요,2020-02-15, 당신에게 드릴 게 없어서 나의 마음을 드려요 그대에게 받은 게 많아서 표현을 다 할 수가 없어요 나지막한 인사에 수많은 내 마음 고이 담아 그대에게로 건네면 내 마음 조금 알까요 어떤 이유로 만나 나와 사랑을 하고 어떤 이유로 내게 와 함께 있어준 당신 부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길 어떤 소식 보다 더 애타게 기다려지는 그대 엇갈리지 않게 여기 기다릴게요 눌러 적은 편지에 수많은 그리움 고이 담아 그대 내게로 올 때면 그 손에 쥐어줄게요 어떤 이유로 만나 나와 사랑을 하고 어떤 이유로 내게 와 함께 있어준 당신 부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길 네 번의 모든 계절들과 열두 달의 시간을 너와 숨이 차게 매일 사랑하며 함께 할게 어떤 이유로 만나 우리 사랑을 했던 지금 이 순간처럼 매일 바라보며 애써주기를 부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길 부디 추억만 남지 않길 너완 ,233174,indifference
미도와 파라솔,"너에게 난, 나에게 넌",2020-05-29, 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 우 후회 없이 그림처럼 남아주기를 나에게 넌 내 외롭던 지난 시간을 환하게 비춰주던 햇살이 되고 조그맣던 너의 하얀 손위에 빛나는 보석처럼 영원의 약속이 되어 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 우 후회 없이 그림처럼 남아주기를 나에게 넌 초록의 슬픈 노래로 내 작은 가슴속에 이렇게 남아 반짝이던 너의 예쁜 눈망울에 수많은 별이 되어 영원토록 빛나고 싶어 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 우 후회 없이 그림처럼 남아주기를 너에게 난 해질녘 노을처럼 한편의 아름다운 추억이 되고 소중했던 우리 푸르던 날을 기억하며 우 후회 없이 그림처럼 남아주기를 그림처럼 남아주기를  ,76321,indifference
더 클래식,마법의 성,1994-07-01,믿을 수 있나요 나의 꿈 속에서 너는 마법에 빠진 공주란걸 언제나 너를 향한 몸짓엔 수많은 어려움 뿐이지만  그러나 언제나 굳은 다짐 뿐이죠 다시 너를 구하고 말거라고 두 손을 모아 기도했죠 끝 없는 용기와 지혤 달라고  마법의 성을 지나 늪을 건너 어둠의 동굴 속 멀리 그대가 보여 이제 나의 손을 잡아보아요 우리의 몸이 떠오르는 것을 느끼죠  자유롭게 저 하늘을 날아가도 놀라지 말아요 우리 앞에 펼쳐질 세상이 너무나 소중해 함께라면  마법의 성을 지나 늪을 건너 어둠의 동굴 속 멀리 그대가 보여 이제 나의 손을 잡아보아요 우리의 몸이 떠오르는 것을 느끼죠  자유롭게 저 하늘을 날아가도 놀라지 말아요 우리 앞에 펼쳐질 세상이 너무나 소중해 함께 있다면 - ,19287,indifference
지효 (TWICE),Stardust love song,2022-03-06, 먼 곳에 지는 저 별은 누군가 품었던 슬픈 꿈 붙잡으려 손을 뻗어 봐도 부서져 사라지는 꿈 하지만 너와 걸을 때 내게 불러준 멜로디 괜찮다고 이런 내 모습 그대로 충분하다고 Just like stardust we’re scattered pieces in the Universe 옛 별들의 노래 지친 마음도 애달픈 꿈도 그 무엇도 너의 탓이 아니야 너의 눈물을 봤을 때 들려주고 싶던 그 노래 늘 그랬듯이 그 어떤 슬픔도 지나갈 거라고 Just like stardust we’re scattered pieces in the Universe 옛 별들의 노래 아픈 추억도 떠난 사람도 그 무엇도 너의 탓이 아니야 너는 날 다시 꿈꾸게 하는 걸 나 왠지 두렵기도 하지만 넌 내게 이미 너무도 커다란 위로 Stardust love song 저 먼 훗날 간절한 꿈들은 이뤄지고 나의 별도 언젠가 지고 나면 다 지고 나면 함께 그 추억을 주으러 가자  ,18867,indifference
AKMU (악뮤),달,2019-09-25,유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 샤워하고 걸쳐 두른 샤워가운 베란다로 나와 자막 없이 밤하늘 보고 번역 없는 바람 소릴 듣지 눈물이 고이네 슬퍼서 달이 너무 슬퍼서 비가 오면 좋겠어 오늘 밤엔 유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 나도 살짝 웃어 보이면 저 달에 비칠까 적당히 습한 공기가 너의 손길 같아 심야 깊은 밤의 온기가 너의 말투 같아 귀 기울이면 눈물이 고이네 슬퍼서 달이 너무 슬퍼서 네가 오면 좋겠어 오늘 밤엔 유난히 밝은 달 거대한 원형 속에 보이네 너의 미소 나도 살짝 웃어 보이면 저 달에 비칠까 유난히 밝은 달 우리가 유일하게 공유하는 것 아직도 나도 살짝 웃어 보이면 샤워하고 걸쳐 두른 네 향기 난 오늘도 달에 밤 인사를 건네 음소거로 소리 없이 흐느낀 난 오늘도 달에 밤 인사를 건네 샤워하고 걸쳐 두른 네 향기 난 오늘도 달에 밤 인사를 건네 음소거로 소리 없이 흐느낀 난 오늘도 달에 밤 인사를 건네 ,55185,indifference
김동률,출발,2008-01-24, 아주 멀리까지 가 보고 싶어 그곳에선 누구를 만날 수가 있을지 아주 높이까지 오르고 싶어 얼마나 더 먼 곳을 바라볼 수 있을지 작은 물병 하나 먼지 낀 카메라 때 묻은 지도 가방 안에 넣고서 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 멍하니 앉아서 쉬기도 하고 가끔 길을 잃어도 서두르지 않는 법 언젠가는 나도 알게 되겠지 이 길이 곧 나에게 가르쳐 줄 테니까 촉촉한 땅바닥 앞서 간 발자국 처음 보는 하늘 그래도 낯익은 길 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 새로운 풍경에 가슴이 뛰고 별것 아닌 일에도 호들갑을 떨면서 나는 걸어가네 휘파람 불며 때로는 넘어져도 내 길을 걸어가네 작은 물병 하나 먼지 낀 카메라 때 묻은 지도 가방 안에 넣고서 언덕을 넘어 숲길을 헤치고 가벼운 발걸음 닿는 대로 끝없이 이어진 길을 천천히 걸어가네 내가 자라고 정든 이 거리를 난 가끔 그리워하겠지만 이렇게 나는 떠나네 더 넓은 세상으로   ,76567,indifference
태연 (TAEYEON),Gravity,2019-10-28, 난 온기 없는 어둠 속을 유영하듯 헤매어 손을 내밀어도 결국 돌아오는 공허함 반복된 상처에 굳게 또 맘을 잠그고 나 홀로 견디고 그 순간 마주친 넌 따스한 느낌 틈 사이로 어루만진 포근한 손길 위태롭던 내게 넌 Gravity 방황하던 날 강렬하게 이끈 힘 외로운 시간들을 지나 드디어 제자리를 찾아 더 끌어안아줘 날 위태롭던 내게 넌 Gravity 늘 모르는 척했던 감정 익숙했던 지난날 넌 아무것도 묻지 않고 늘 나의 곁을 지켰어 길었던 시간들 지나 결국엔 너였어 이대로 날 안아 멀게만 느껴졌던 다정한 온기 나 지금은 너로 인해 느낄 수 있어 위태롭던 내게 넌 Gravity 방황하던 날 강렬하게 이끈 힘 외로운 시간들을 지나 드디어 제자리를 찾아 더 끌어안아줘 날 위태롭던 내게 넌 Gravity 항상 같은 곳에서 내 곁에서 Yeah 전해준 온기 날 지켜준 한 사람 단 한 사람 Yeah 너라는 이유 끝없이 넌 날 이끈 Gravity 변함없이 날 따스하게 감싸지 혼자인 시간들을 지나 운명의 끝에서 널 만나 더 끌어안아줘 날 끝없이 넌 날 이끈 Gravity  ,64873,indifference
안예은,백유화,2022-06-25,사라지는 달에 허상이 된 마음에 하염없이 떠도는 말들 햇살이 비추는 날 나의 어린 사랑은 부유하는 먼지가 되네 죽어가는 별에 연기가 된 마음에 길을 잃고 헤매는 말들 비가 쏟아지던 날 나의 여린 사람은 부서지는 눈물이 되네 그대의 어린 마음 가시의 정원 피를 흘렸지 언젠가 보게 될 붉은 꽃을 위해서 위험하다 가지마라 무엇하리 사랑 그것이 그리도 빛나더냐 나의 하늘 나의 별 그대 반짝여라 온 힘 다해 빛으로 있어주오 어느 날 무정한 구름에 가릴 것을 사랑이 너무 아파 나 울때에도 울게 되겠지 당신을 올려다보리 우우우우 피어나는 달 결말없는 이야기 반드시 끝날얘기 꽃잎엔 이슬 님을 담았네 기꺼이 보게 될 붉은 꽃을 위해서 위험하다 가지마라 뒤로 한 채 사랑 그것에 내 숨을 빼앗겨도 너의 하늘 너의 별 마지막인듯이 온힘다해 빛나는 어둠이여 어둠을 밝히며 춤추는 별들이여 야속히 흩어질 그 순간에도 후회는 없어 발을 떼지 않을 것임을 우우우우 잔인한 여름 그 해 유월에 이름 모를 꽃 한송이가 피어났다 하더라 별을 좇아 고개를 돌린다하여 나의 이야기는 차가운 어둠 외로운 눈물 흙투성이 발로 길을 찾아줄 당신을 찾아 별을 쫓아갔네 결말을 향하여 백유화라 하더라 ,2227,indifference
카더가든,그대 나를 일으켜주면,2018-12-29, 아무런 말도 없이 반짝이던 그밤 난 기억이 나요 내 걸음을 멈추어서 난 돌아갈래요 이 말을 하려고 그대 잠든 나를 깨워줘 메마른 새벽에 검은 고요 속에도 그대 나를 일으켜주면 나 손을 내밀어 품에 가득 안으리 Every Night Every Night Every Night Every Night Every Night Every Night Every Night Every Night Every Night Every Night 그 어떤 말이라도 없었던 것처럼 머물러 주기를 내 걸음을 멈추어서 난 돌아갈래요 이 말을 하려고 그대 잠든 나를 깨워줘 메마른 새벽에 검은 고요 속에도 그대 나를 일으켜주면 나 손을 내밀어 품에 가득 안으리 매일 하루 끝이 지나갈 때면 검은 새벽을 또 맞이할 때면 매일 그렇듯 또 아침은 오네 그래 그래 지치지 말고 그대 잠든 나를 깨워줘 메마른 새벽에 검은 고요 속에도 그대 나를 일으켜주면 나 손을 내밀어 품에 가득 안으리 아무런 말도 없이 반짝이던 그밤 난 기억이 나요 내 걸음을 멈추어서 난 돌아갈래요 이 말을 하려고  ,34148,indifference
이선희,J에게,2005-10-24,J 스치는 바람에 J 그대모습 보이면 난 오늘도 조용히 그댈 그리워하네 J 지난밤 꿈속에 J 만났던 모습은 내 가슴속 깊이 여울져 남아있네 J 아름다운 여름날이 멀리 사라졌다해도 J 나의 사랑은 아직도 변함없는데 J 난 너를 못잊어 J 난 너를 사랑해 J 우리가 걸었던 J 추억의 그 길을 난 이 밤도 쓸쓸히 쓸쓸히 걷고 있네 J 아름다운 여름날이 멀리 사라졌다해도 J 나의 사랑은 아직도 변함없는데 J 난 너를 못잊어 J 난 너를 사랑해 J 우리가 걸었던 J 추억의 그 길을 난 이 밤도 쓸쓸히 쓸쓸히 걷고 있네 쓸쓸히 걷고있네 ,8630,indifference
이문세,소녀,1985-11-20, 내 곁에만 머물러요 떠나면 안 돼요 그리움 두고 머나먼 길 그대 무지개를 찾아올 순 없어요 노을 진 창가에 앉아 멀리 떠가는 구름을 보며 찾고 싶은 옛 생각들 하늘에 그려요 음 불어오는 차가운 바람 속에 그대 외로워 울지만 나 항상 그대 곁에 머물겠어요 떠나지 않아요 노을 진 창가에 앉아 멀리 떠가는 구름을 보며 찾고 싶은 옛 생각들 하늘에 그려요 음 불어오는 차가운 바람 속에 그대 외로워 울지만 나 항상 그대 곁에 머물겠어요 떠나지 않아요  ,25530,indifference
벤,안갯길 (Prod. By 진영(B1A4)),2016-09-13, 뿌옇게 흐려져만 가는 우리 기억처럼 하얀 안개 속에 서있죠 내 눈앞에 흐려져만 가는 밝게 웃던 그대 모습이 잊혀질까봐 겁이나 눈을 감아도 그대가 보이네요 그리워하는 이 맘 그댄 아나요 안갯길 넘어 그대가 날 찾고 있다면 달빛이 그린 저 길을 따라와 줄래요 우리 다시 봄날의 꽃을 피울 수만 있다면 돌아갈 수 있다면 좋을텐데 조금씩 시간이 지나면 우리의 아픔도 안개처럼 흐려질까요 새까맣게 짙어져만 가는 기억속의 그대 모습이 지워질까봐 겁이나 눈을 감아도 그대가 보이네요 그리워하는 이 맘 그댄 아나요 안갯길 넘어 그대가 날 찾고 있다면 달빛이 그린 저 길을 따라와 줄래요 우리 다시 봄날의 꽃을 피울 수만 있다면 돌아갈 수 있다면 좋을텐데 앞이 보이지 않아 눈앞이 흐려져도 눈을 감으면 고인 눈물이 흘러넘쳐도 언젠가는 그대 앞에 내가 서있을게요 화려하지 않아도 우리 사랑은 참 좋았잖아요 안갯길 넘어 그대가 날 찾고 있다면 달빛이 그린 저 길을 따라와 줄래요 우리 다시 봄날의 꽃을 피울 수만 있다면 돌아갈 수 있다면 좋을텐데 뿌옇게 흐려져만 가는 우리 기억처럼 하얀 안개 속에 서있죠  ,73267,indifference
안예은,창귀,2021-08-01,게 누구인가 가까이 와보시게 옳지 조금만 더 그래 얼씨구 좋다 겁 없이 밤길을 거니는 나그네여 내 말 좀 들어보오 나뭇잎 동동 띄운 물 한 잔 마시며 잠시 쉬어 가오 나무아미타불 신령님이 보우하사 나무아미타불 신령님이 나는 올해로 스물하나가 된 청년인데 범을 잡는다 거드럭대다가 목숨을 잃었소만 이대로는 달상하여 황천을 건널 수 없어 옳다구나 당신이 나를 도와주시게 얼씨구 좋다 어절씨구 좋다 그대 나와 함께 어깨춤을 덩실 더덩실 정신을 잃고 쓰러질 때까지 이 밤 산신의 이빨 아래 나무아미타불 나무아미타불 무꾸리를 해보자 네 목숨이 곤히 붙어있을지 무꾸리를 해보자 미천한 명줄이 언제고 이어질지 나무아미타불 나무아미타불 나무 사이에는 웅신님이 연못 바닥에는 수살귀에 아수라발발타 벽공너머에는 불사조가 나그네 뒤에는 도깨비가 아수라발발타 교교하다 휘영청 만월이로세 얼쑤 수군대는 영산에 호랑이님 행차하옵신다 얼씨구 좋다 어절씨구 좋다 그래 어디 한 번 어깨춤을 덩실 더덩실 하찮은 네 놈 재주를 보자꾸나 이곳이 너의 무덤이로다 얼씨구 좋다 어절씨구 좋다 우리 모두 함께 어깨춤을 덩실 더덩실 얼씨구씨구 들어간다 절씨구씨구 들어간다 작년에 왔던 각설이가 혼령이 되어 또 왔네 눈을 뜨면 사라질 곡두여 이 밤 산군의 길 위에서 너를 데려가겠노라 ,19396,indifference
오혁,소녀,2015-11-21, 내 곁에만 머물러요 떠나면 안돼요 그리움 두고 머나먼 길 그대 무지개를 찾아올 순 없어요 노을 진 창가에 앉아 멀리 떠가는 구름을 보면 찾고 싶은 옛 생각들 하늘에 그려요 음 불어오는 차가운 바람 속에 그대 외로워 울지만 나 항상 그대 곁에 머물겠어요 떠나지 않아요 노을 진 창가에 앉아 멀리 떠가는 구름을 보면 찾고 싶은 옛 생각들 하늘에 그려요 음 불어오는 차가운 바람 속에 그대 외로워 울지만 나 항상 그대 곁에 머물겠어요 떠나지 않아요 내 곁에만 머물러요 떠나면 안돼요  ,204574,indifference
